sentiment,coin_std,trades,notional_sum,r_mean,pnl_mean,winrate
Greed,CHILLGUY,22,5686.75,0.03222282462208584,1.7672576363636365,0.22727272727272727
Greed,COMP,59,32236.76,0.016191211332465923,22.308836237288133,0.3898305084745763
Greed,CRV,21,8607.58,0.04140253603545994,15.92655380952381,0.5238095238095238
Greed,CYBER,1,691.62,0.2769289494230936,191.5296,1.0
Greed,DOGE,181,768016.11,0.013905369055546894,54.47180214917127,0.5303867403314917
Greed,DOT,27,118432.41,0.003926191240775514,3.690142,0.5185185185185185
Greed,DYM,2,4868.05,0.02783353039292274,65.913975,0.5
Greed,EIGEN,11,7218.21,0.019028303949576,2.1962335454545463,0.6363636363636364
Greed,ENA,17,6270.349999999999,0.00499595110918819,0.5562965294117648,0.35294117647058826
Greed,ETC,2,666.76,0.250050716166642,83.3618,1.0
Greed,ETH,1447,19151601.48,-0.00325730235678491,-111.42257313337942,0.19695922598479612
Greed,ETHFI,31,92565.70999999999,0.06323040304102778,215.1162510967742,0.5161290322580645
Greed,FARTCOIN,271,615329.51,0.01999751725086437,13.614888287822875,0.41697416974169743
Greed,FET,7,6089.68,0.04341372162386773,20.94322857142857,0.8571428571428571
Greed,FTM,23,140671.19,0.046951903567646495,152.17302473913043,0.9130434782608695
Greed,FTT,41,11049.2,0.013174018702146247,3.645416048780488,0.2926829268292683
Greed,FXS,37,14418.89,0.008966442421583048,3.638358972972973,0.5135135135135135
Greed,GALA,1,250.03,0.0,0.0,0.0
Greed,GMT,2,1121.19,0.09747073123611424,60.54297,0.5
Greed,GMX,9,6002.42,0.0010679754826689062,0.47660955555555556,0.4444444444444444
Greed,GOAT,4,942.6700000000001,0.0,0.0,0.0
Greed,GRASS,21,9795.52,0.0,0.0,0.0
Greed,GRIFFAIN,1,1009.77,0.09927512205749825,100.24504,1.0
Greed,HBAR,14,4903.47,0.06831022794672009,45.76746628571429,0.42857142857142855
Greed,HPOS,45,27014.84,-0.03284503025121795,0.9137781111111128,0.28888888888888886
Greed,HYPE,1669,5032107.69,0.04314567284940509,168.30583325104854,0.731575793888556
Greed,IMX,10,2005.6699999999998,0.07210355661875142,43.010226,0.8
Greed,INJ,16,21250.45,0.007508744279751199,19.7715475625,0.3125
Greed,IO,214,185355.48,-0.05720107234247775,-102.23778857943925,0.09813084112149532
Greed,JELLY,74,325865.83999999997,0.028594137938815597,93.2981702972973,0.8243243243243243
Greed,JUP,19,10559.83,0.0007283963688258158,0.8142602105263158,0.10526315789473684
Greed,LDO,13,6146.96,0.0038176317980890035,0.778341230769231,0.23076923076923078
Greed,LINK,34,167752.52,0.010356475546169206,-0.7702414117647056,0.4411764705882353
Greed,LTC,21,1519.82,0.01945443673030451,1.0240274285714286,0.3333333333333333
Greed,MANTA,14,740.02,0.002462906944357094,0.17234285714285713,0.21428571428571427
Greed,MATIC,5,10095.32,0.014963958449819445,19.0622432,0.8
Greed,ME,6,4085.3900000000003,0.13433321036950305,129.324803,0.6666666666666666
Greed,MELANIA,81,103921.27,0.046328686647628,99.3216904691358,0.08641975308641975
Greed,MEME,1,249.9,0.0,0.0,0.0
Greed,MOODENG,30,58795.63,0.24172028285851396,531.6550300666667,0.6333333333333333
Greed,MYRO,13,46780.82,0.002022501477276623,3.9381946153846155,0.9230769230769231
Greed,NEAR,13,110951.56999999999,0.0313887931026281,155.419485,0.8461538461538461
Greed,ONDO,58,154639.07,0.03551339342891979,51.39194451724138,0.9310344827586207
Greed,OP,64,202643.77,0.013221122633289877,37.45262125,0.890625
Greed,ORDI,21,13282.86,0.002278020539540449,1.7094210476190475,0.42857142857142855
Greed,PENDLE,123,93424.78,0.0288979898763028,15.36253925203252,0.5040650406504065
Greed,PENGU,46,15803.9,0.024855321894627757,13.698994173913043,0.30434782608695654
